,year,State,Race,Total population,Total citizen population,Total registered,Percent registered (Total),Margin of error 1,Margin of error 1,Margin of error 1,Margin of error 1,Percent registered (Citizen),Margin of error 1,Margin of error 1,Margin of error 1,Margin of error 1,Total voted,Percent voted (Total),Margin of error 1,Margin of error 1,Margin of error 1,Margin of error 1,Percent voted (Citizen),Margin of error 1,Margin of error 1,Margin of error 1,Margin of error 1
242,2010,MASSACHUSETTS,Total,"5,097","4,695","3,230",63.4,2,2,2.1,2.2,68.8,2,2,2.1,2.2,"2,452",48.1,2,2,2.1,2.2,52.2,2,2,2.1,2.2
245,2010,MASSACHUSETTS,White,"4,516","4,283","3,037",67.2,2.1,2.1,2.2,2.3,70.9,2.1,2.1,2.2,2.3,"2,304",51,2.1,2.1,2.2,2.3,53.8,2.1,2.1,2.2,2.3
247,2010,MASSACHUSETTS,Black,319,236,109,34.2,9.6,11.7,9.2,11.5,46.3,9.6,11.7,9.2,11.5,93,29.1,9.6,11.7,9.2,11.5,39.3,9.6,11.7,9.2,11.5
249,2010,MASSACHUSETTS,Hispanic,430,346,134,31.2,10.5,12.3,7.1,8.7,38.8,10.5,12.3,7.1,8.7,48,11.3,10.5,12.3,7.1,8.7,14,10.5,12.3,7.1,8.7
253,2010,MICHIGAN,Total,"7,513","7,176","5,127",68.2,1.6,1.6,1.7,1.8,71.4,1.6,1.6,1.7,1.8,"3,394",45.2,1.6,1.6,1.7,1.8,47.3,1.6,1.6,1.7,1.8
256,2010,MICHIGAN,White,"6,141","5,954","4,376",71.3,1.7,1.7,1.9,1.9,73.5,1.7,1.7,1.9,1.9,"2,873",46.8,1.7,1.7,1.9,1.9,48.3,1.7,1.7,1.9,1.9
258,2010,MICHIGAN,Black,997,974,598,60,5.6,5.7,5.7,5.7,61.4,5.6,5.7,5.7,5.7,407,40.8,5.6,5.7,5.7,5.7,41.8,5.6,5.7,5.7,5.7
260,2010,MICHIGAN,Hispanic,229,171,107,46.6,15.6,17.5,14.2,17.7,62.6,15.6,17.5,14.2,17.7,68,29.6,15.6,17.5,14.2,17.7,39.7,15.6,17.5,14.2,17.7
264,2010,MINNESOTA,Total,"3,982","3,830","2,756",69.2,2.2,2.2,2.4,2.4,72,2.2,2.2,2.4,2.4,"2,104",52.8,2.2,2.2,2.4,2.4,54.9,2.2,2.2,2.4,2.4
267,2010,MINNESOTA,White,"3,680","3,599","2,639",71.7,2.2,2.2,2.4,2.5,73.3,2.2,2.2,2.4,2.5,"2,024",55,2.2,2.2,2.4,2.5,56.3,2.2,2.2,2.4,2.5
269,2010,MINNESOTA,Black,140,101,62,44.1,15.1,17.5,14.2,17.8,60.9,15.1,17.5,14.2,17.8,45,32.2,15.1,17.5,14.2,17.8,44.5,15.1,17.5,14.2,17.8
271,2010,MINNESOTA,Hispanic,138,89,43,31.2,18.4,24.8,16.3,23.3,48.5,18.4,24.8,16.3,23.3,30,21.4,18.4,24.8,16.3,23.3,33.2,18.4,24.8,16.3,23.3
275,2010,MISSISSIPPI,Total,"2,113","2,087","1,532",72.5,2.3,2.3,2.6,2.6,73.4,2.3,2.3,2.6,2.6,983,46.5,2.3,2.3,2.6,2.6,47.1,2.3,2.3,2.6,2.6
278,2010,MISSISSIPPI,White,"1,324","1,309",970,73.3,2.9,2.9,3.3,3.3,74.1,2.9,2.9,3.3,3.3,623,47.1,2.9,2.9,3.3,3.3,47.6,2.9,2.9,3.3,3.3
280,2010,MISSISSIPPI,Black,721,721,534,74.1,4.8,4.8,5.4,5.4,74.1,4.8,4.8,5.4,5.4,351,48.7,4.8,4.8,5.4,5.4,48.7,4.8,4.8,5.4,5.4
