,year,State,Race,Total population,Total citizen population,Total registered,Percent registered (Total),Margin of error 1,Margin of error 1,Margin of error 1,Margin of error 1,Percent registered (Citizen),Margin of error 1,Margin of error 1,Margin of error 1,Margin of error 1,Total voted,Percent voted (Total),Margin of error 1,Margin of error 1,Margin of error 1,Margin of error 1,Percent voted (Citizen),Margin of error 1,Margin of error 1,Margin of error 1,Margin of error 1
148,2012,IDAHO,Black,7,7,-,(B),(B),(B),(B),(B),(B),(B),(B),(B),(B),-,(B),(B),(B),(B),(B),(B),(B),(B),(B),(B)
150,2012,IDAHO,Hispanic,119,68,35,29.6,11,(B),10,(B),(B),11,(B),10,(B),27,22.5,11,(B),10,(B),(B),11,(B),10,(B)
154,2012,ILLINOIS,Total,"9,651","8,831","6,425",66.6,1.4,1.4,1.5,1.6,72.7,1.4,1.4,1.5,1.6,"5,428",56.2,1.4,1.4,1.5,1.6,61.5,1.4,1.4,1.5,1.6
157,2012,ILLINOIS,White,"7,673","7,115","5,150",67.1,1.6,1.6,1.7,1.7,72.4,1.6,1.6,1.7,1.7,"4,275",55.7,1.6,1.6,1.7,1.7,60.1,1.6,1.6,1.7,1.7
159,2012,ILLINOIS,Black,"1,322","1,278",987,74.7,4.3,4.3,4.6,4.6,77.2,4.3,4.3,4.6,4.6,918,69.5,4.3,4.3,4.6,4.6,71.8,4.3,4.3,4.6,4.6
161,2012,ILLINOIS,Hispanic,"1,200",770,415,34.6,6.5,8.5,5.9,8.3,53.9,6.5,8.5,5.9,8.3,295,24.6,6.5,8.5,5.9,8.3,38.3,6.5,8.5,5.9,8.3
165,2012,INDIANA,Total,"4,852","4,724","3,270",67.4,2,2,2.1,2.1,69.2,2,2,2.1,2.1,"2,801",57.7,2,2,2.1,2.1,59.3,2,2,2.1,2.1
168,2012,INDIANA,White,"4,349","4,255","2,926",67.3,2.1,2.1,2.2,2.2,68.8,2.1,2.1,2.2,2.2,"2,509",57.7,2.1,2.1,2.2,2.2,59,2.1,2.1,2.2,2.2
170,2012,INDIANA,Black,385,385,309,80.3,7.3,7.3,8.5,8.5,80.3,7.3,7.3,8.5,8.5,263,68.4,7.3,7.3,8.5,8.5,68.4,7.3,7.3,8.5,8.5
172,2012,INDIANA,Hispanic,184,118,71,38.5,16.8,21.1,15.3,21.2,59.7,16.8,21.1,15.3,21.2,49,26.5,16.8,21.1,15.3,21.2,41.1,16.8,21.1,15.3,21.2
176,2012,IOWA,Total,"2,320","2,232","1,745",75.2,2.3,2.2,2.5,2.5,78.2,2.3,2.2,2.5,2.5,"1,548",66.7,2.3,2.2,2.5,2.5,69.4,2.3,2.2,2.5,2.5
179,2012,IOWA,White,"2,173","2,123","1,673",77,2.3,2.2,2.5,2.5,78.8,2.3,2.2,2.5,2.5,"1,482",68.2,2.3,2.2,2.5,2.5,69.8,2.3,2.2,2.5,2.5
181,2012,IOWA,Black,54,51,35,(B),(B),(B),(B),(B),(B),(B),(B),(B),(B),33,(B),(B),(B),(B),(B),(B),(B),(B),(B),(B)
183,2012,IOWA,Hispanic,120,71,32,26.8,16,(B),15.6,(B),(B),16,(B),15.6,(B),30,25.1,16,(B),15.6,(B),(B),16,(B),15.6,(B)
187,2012,KANSAS,Total,"2,120","1,973","1,467",69.2,2.4,2.4,2.6,2.6,74.4,2.4,2.4,2.6,2.6,"1,249",58.9,2.4,2.4,2.6,2.6,63.3,2.4,2.4,2.6,2.6
190,2012,KANSAS,White,"1,851","1,759","1,342",72.5,2.5,2.5,2.7,2.7,76.3,2.5,2.5,2.7,2.7,"1,148",62,2.5,2.5,2.7,2.7,65.3,2.5,2.5,2.7,2.7
192,2012,KANSAS,Black,105,103,64,61.3,13.9,14,14.3,14.4,62.5,13.9,14,14.3,14.4,54,51.4,13.9,14,14.3,14.4,52.4,13.9,14,14.3,14.4
194,2012,KANSAS,Hispanic,197,108,54,27.5,12.1,18.3,10.1,16.8,50,12.1,18.3,10.1,16.8,33,16.6,12.1,18.3,10.1,16.8,30.2,12.1,18.3,10.1,16.8
198,2012,KENTUCKY,Total,"3,291","3,194","2,303",70,2.4,2.4,2.6,2.6,72.1,2.4,2.4,2.6,2.6,"1,895",57.6,2.4,2.4,2.6,2.6,59.3,2.4,2.4,2.6,2.6
201,2012,KENTUCKY,White,"2,966","2,899","2,091",70.5,2.5,2.5,2.7,2.7,72.1,2.5,2.5,2.7,2.7,"1,733",58.4,2.5,2.5,2.7,2.7,59.8,2.5,2.5,2.7,2.7
203,2012,KENTUCKY,Black,223,220,162,72.8,10.7,10.7,12,12,73.8,10.7,10.7,12,12,125,56.1,10.7,10.7,12,12,56.9,10.7,10.7,12,12
205,2012,KENTUCKY,Hispanic,82,34,20,24,22,(B),18.7,(B),(B),22,(B),18.7,(B),13,15.5,22,(B),18.7,(B),(B),22,(B),18.7,(B)
209,2012,LOUISIANA,Total,"3,321","3,239","2,498",75.2,2.2,2.2,2.4,2.4,77.1,2.2,2.2,2.4,2.4,"2,148",64.7,2.2,2.2,2.4,2.4,66.3,2.2,2.2,2.4,2.4
212,2012,LOUISIANA,White,"2,242","2,174","1,681",75,2.7,2.6,3,3,77.3,2.7,2.6,3,3,"1,421",63.4,2.7,2.6,3,3,65.4,2.7,2.6,3,3
214,2012,LOUISIANA,Black,996,996,768,77.1,4.8,4.8,5.2,5.2,77.1,4.8,4.8,5.2,5.2,692,69.5,4.8,4.8,5.2,5.2,69.5,4.8,4.8,5.2,5.2
216,2012,LOUISIANA,Hispanic,125,70,57,45.3,20.6,(B),20.1,(B),(B),20.6,(B),20.1,(B),48,38.1,20.6,(B),20.1,(B),(B),20.6,(B),20.1,(B)
220,2012,MAINE,Total,"1,042","1,020",787,75.5,2.4,2.4,2.7,2.7,77.1,2.4,2.4,2.7,2.7,700,67.2,2.4,2.4,2.7,2.7,68.6,2.4,2.4,2.7,2.7
223,2012,MAINE,White,"1,001",986,766,76.5,2.4,2.4,2.7,2.7,77.7,2.4,2.4,2.7,2.7,682,68.1,2.4,2.4,2.7,2.7,69.1,2.4,2.4,2.7,2.7
225,2012,MAINE,Black,8,7,4,(B),(B),(B),(B),(B),(B),(B),(B),(B),(B),4,(B),(B),(B),(B),(B),(B),(B),(B),(B),(B)
227,2012,MAINE,Hispanic,10,7,4,(B),(B),(B),(B),(B),(B),(B),(B),(B),(B),4,(B),(B),(B),(B),(B),(B),(B),(B),(B),(B)
231,2012,MARYLAND,Total,"4,449","4,007","2,888",64.9,2.2,2.2,2.2,2.3,72.1,2.2,2.2,2.2,2.3,"2,609",58.7,2.2,2.2,2.2,2.3,65.1,2.2,2.2,2.2,2.3
234,2012,MARYLAND,White,"2,837","2,635","1,913",67.4,2.7,2.6,2.8,2.8,72.6,2.7,2.6,2.8,2.8,"1,711",60.3,2.7,2.6,2.8,2.8,65,2.7,2.6,2.8,2.8
236,2012,MARYLAND,Black,"1,276","1,167",850,66.6,4.9,4.8,5,5,72.8,4.9,4.8,5,5,788,61.8,4.9,4.8,5,5,67.5,4.9,4.8,5,5
238,2012,MARYLAND,Hispanic,342,176,115,33.7,12.2,17.1,11.9,17.7,65.6,12.2,17.1,11.9,17.7,103,30.2,12.2,17.1,11.9,17.7,58.7,12.2,17.1,11.9,17.7
242,2012,MASSACHUSETTS,Total,"5,170","4,774","3,759",72.7,1.8,1.8,2,2,78.7,1.8,1.8,2,2,"3,382",65.4,1.8,1.8,2,2,70.8,1.8,1.8,2,2
245,2012,MASSACHUSETTS,White,"4,358","4,128","3,331",76.4,1.9,1.8,2.1,2.1,80.7,1.9,1.8,2.1,2.1,"3,009",69,1.9,1.8,2.1,2.1,72.9,1.9,1.8,2.1,2.1
247,2012,MASSACHUSETTS,Black,385,321,228,59.2,9,9.1,9.1,9.6,70.9,9,9.1,9.1,9.6,211,54.7,9,9.1,9.1,9.6,65.6,9,9.1,9.1,9.6
249,2012,MASSACHUSETTS,Hispanic,453,322,216,47.6,11,12.3,10.9,12.6,66.9,11,12.3,10.9,12.6,202,44.6,11,12.3,10.9,12.6,62.7,11,12.3,10.9,12.6
253,2012,MICHIGAN,Total,"7,496","7,228","5,620",75,1.5,1.5,1.7,1.7,77.8,1.5,1.5,1.7,1.7,"4,832",64.5,1.5,1.5,1.7,1.7,66.8,1.5,1.5,1.7,1.7
256,2012,MICHIGAN,White,"6,103","5,971","4,758",78,1.6,1.6,1.8,1.8,79.7,1.6,1.6,1.8,1.8,"4,065",66.6,1.6,1.6,1.8,1.8,68.1,1.6,1.6,1.8,1.8
258,2012,MICHIGAN,Black,"1,028",991,687,66.8,5.3,5.3,5.5,5.6,69.3,5.3,5.3,5.5,5.6,627,61,5.3,5.3,5.5,5.6,63.3,5.3,5.3,5.5,5.6
260,2012,MICHIGAN,Hispanic,285,225,193,67.9,13.1,10.9,13.9,14.4,86,13.1,10.9,13.9,14.4,158,55.4,13.1,10.9,13.9,14.4,70.3,13.1,10.9,13.9,14.4
264,2012,MINNESOTA,Total,"4,055","3,903","3,085",76.1,2,1.9,2.1,2.1,79,2,1.9,2.1,2.1,"2,859",70.5,2,1.9,2.1,2.1,73.2,2,1.9,2.1,2.1
267,2012,MINNESOTA,White,"3,639","3,576","2,846",78.2,2,2,2.2,2.2,79.6,2,2,2.2,2.2,"2,646",72.7,2,2,2.2,2.2,74,2,2,2.2,2.2
269,2012,MINNESOTA,Black,179,142,95,52.9,13.4,14.2,13.4,14.7,66.9,13.4,14.2,13.4,14.7,88,49.2,13.4,14.2,13.4,14.7,62.1,13.4,14.2,13.4,14.7
271,2012,MINNESOTA,Hispanic,136,96,54,39.9,19.7,23.6,18.8,23.7,56.1,19.7,23.6,18.8,23.7,44,32.5,19.7,23.6,18.8,23.7,45.7,19.7,23.6,18.8,23.7
275,2012,MISSISSIPPI,Total,"2,166","2,130","1,794",82.8,2,1.9,2.3,2.3,84.2,2,1.9,2.3,2.3,"1,588",73.3,2,1.9,2.3,2.3,74.5,2,1.9,2.3,2.3
278,2012,MISSISSIPPI,White,"1,355","1,338","1,094",80.7,2.6,2.6,3,3,81.8,2.6,2.6,3,3,951,70.2,2.6,2.6,3,3,71.1,2.6,2.6,3,3
280,2012,MISSISSIPPI,Black,748,744,674,90.2,3.2,3.1,4.1,4.1,90.6,3.2,3.1,4.1,4.1,613,82,3.2,3.1,4.1,4.1,82.4,3.2,3.1,4.1,4.1
282,2012,MISSISSIPPI,Hispanic,35,17,5,(B),(B),(B),(B),(B),(B),(B),(B),(B),(B),2,(B),(B),(B),(B),(B),(B),(B),(B),(B),(B)
286,2012,MISSOURI,Total,"4,521","4,409","3,384",74.8,1.9,1.9,2.2,2.2,76.7,1.9,1.9,2.2,2.2,"2,818",62.3,1.9,1.9,2.2,2.2,63.9,1.9,1.9,2.2,2.2
289,2012,MISSOURI,White,"3,887","3,830","2,923",75.2,2.1,2.1,2.3,2.3,76.3,2.1,2.1,2.3,2.3,"2,452",63.1,2.1,2.1,2.3,2.3,64,2.1,2.1,2.3,2.3
291,2012,MISSOURI,Black,484,465,374,77.2,7,6.7,7.9,8,80.3,7,6.7,7.9,8,313,64.7,7,6.7,7.9,8,67.3,7,6.7,7.9,8
293,2012,MISSOURI,Hispanic,140,104,71,50.9,20.1,21.6,20,22.7,68.6,20.1,21.6,20,22.7,63,45,20.1,21.6,20,22.7,60.7,20.1,21.6,20,22.7
297,2012,MONTANA,Total,768,754,553,72,2.3,2.3,2.4,2.4,73.3,2.3,2.3,2.4,2.4,495,64.5,2.3,2.3,2.4,2.4,65.7,2.3,2.3,2.4,2.4
300,2012,MONTANA,White,698,689,506,72.5,2.4,2.4,2.5,2.5,73.5,2.4,2.4,2.5,2.5,461,66.1,2.4,2.4,2.5,2.5,67,2.4,2.4,2.5,2.5
302,2012,MONTANA,Black,2,-,-,(B),(B),(B),(B),(B),(B),(B),(B),(B),(B),-,(B),(B),(B),(B),(B),(B),(B),(B),(B),(B)
304,2012,MONTANA,Hispanic,15,13,8,(B),(B),(B),(B),(B),(B),(B),(B),(B),(B),7,(B),(B),(B),(B),(B),(B),(B),(B),(B),(B)
308,2012,NEBRASKA,Total,"1,371","1,296",901,65.7,2.5,2.5,2.6,2.6,69.5,2.5,2.5,2.6,2.6,798,58.2,2.5,2.5,2.6,2.6,61.6,2.5,2.5,2.6,2.6
311,2012,NEBRASKA,White,"1,265","1,210",846,66.8,2.6,2.6,2.7,2.7,69.9,2.6,2.6,2.7,2.7,750,59.3,2.6,2.6,2.7,2.7,62,2.6,2.6,2.7,2.7
313,2012,NEBRASKA,Black,51,45,32,(B),(B),(B),(B),(B),(B),(B),(B),(B),(B),29,(B),(B),(B),(B),(B),(B),(B),(B),(B),(B)
315,2012,NEBRASKA,Hispanic,110,64,27,25,12.6,(B),11.5,(B),(B),12.6,(B),11.5,(B),21,19.4,12.6,(B),11.5,(B),(B),12.6,(B),11.5,(B)
319,2012,NEVADA,Total,"2,039","1,808","1,176",57.7,2.5,2.6,2.5,2.6,65,2.5,2.6,2.5,2.6,"1,048",51.4,2.5,2.6,2.5,2.6,57.9,2.5,2.6,2.5,2.6
322,2012,NEVADA,White,"1,627","1,439",947,58.2,2.8,2.8,2.8,3,65.8,2.8,2.8,2.8,3,845,51.9,2.8,2.8,2.8,3,58.7,2.8,2.8,2.8,3
324,2012,NEVADA,Black,169,164,107,63.3,10.2,10.3,10.4,10.5,65.1,10.2,10.3,10.4,10.5,101,60.2,10.2,10.3,10.4,10.5,61.8,10.2,10.3,10.4,10.5
326,2012,NEVADA,Hispanic,464,302,181,38.9,8.1,10.1,7.9,10.3,59.9,8.1,10.1,7.9,10.3,157,33.7,8.1,10.1,7.9,10.3,52,8.1,10.1,7.9,10.3
330,2012,NEW HAMPSHIRE,Total,"1,028",991,752,73.1,2.4,2.3,2.5,2.5,75.9,2.4,2.3,2.5,2.5,688,66.9,2.4,2.3,2.5,2.5,69.4,2.4,2.3,2.5,2.5
333,2012,NEW HAMPSHIRE,White,980,958,730,74.5,2.4,2.4,2.5,2.5,76.1,2.4,2.4,2.5,2.5,670,68.4,2.4,2.4,2.5,2.5,69.9,2.4,2.4,2.5,2.5
335,2012,NEW HAMPSHIRE,Black,12,10,7,(B),(B),(B),(B),(B),(B),(B),(B),(B),(B),6,(B),(B),(B),(B),(B),(B),(B),(B),(B),(B)
337,2012,NEW HAMPSHIRE,Hispanic,29,23,15,(B),(B),(B),(B),(B),(B),(B),(B),(B),(B),15,(B),(B),(B),(B),(B),(B),(B),(B),(B),(B)
341,2012,NEW JERSEY,Total,"6,730","5,929","4,326",64.3,1.8,1.7,1.8,1.9,73,1.8,1.7,1.8,1.9,"3,670",54.5,1.8,1.7,1.8,1.9,61.9,1.8,1.7,1.8,1.9
344,2012,NEW JERSEY,White,"5,173","4,695","3,448",66.6,2,1.9,2.1,2.1,73.4,2,1.9,2.1,2.1,"2,907",56.2,2,1.9,2.1,2.1,61.9,2,1.9,2.1,2.1
346,2012,NEW JERSEY,Black,907,789,586,64.7,5.8,5.7,5.9,6,74.3,5.8,5.7,5.9,6,540,59.6,5.8,5.7,5.9,6,68.5,5.8,5.7,5.9,6
348,2012,NEW JERSEY,Hispanic,"1,170",773,468,40,6.8,8.3,6.5,8.5,60.6,6.8,8.3,6.5,8.5,395,33.8,6.8,8.3,6.5,8.5,51.1,6.8,8.3,6.5,8.5
352,2012,NEW MEXICO,Total,"1,553","1,426",978,63,2.5,2.5,2.5,2.6,68.6,2.5,2.5,2.5,2.6,878,56.5,2.5,2.5,2.5,2.6,61.6,2.5,2.5,2.5,2.6
355,2012,NEW MEXICO,White,"1,310","1,215",875,66.8,2.6,2.6,2.7,2.8,72,2.6,2.6,2.7,2.8,789,60.2,2.6,2.6,2.7,2.8,64.9,2.6,2.6,2.7,2.8
357,2012,NEW MEXICO,Black,43,39,24,(B),(B),(B),(B),(B),(B),(B),(B),(B),(B),24,(B),(B),(B),(B),(B),(B),(B),(B),(B),(B)
359,2012,NEW MEXICO,Hispanic,624,544,349,55.9,6.3,6.5,6.3,6.7,64.1,6.3,6.5,6.3,6.7,306,49,6.3,6.5,6.3,6.7,56.2,6.3,6.5,6.3,6.7
363,2012,NEW YORK,Total,"15,066","13,082","8,887",59,1.2,1.2,1.2,1.3,67.9,1.2,1.2,1.2,1.3,"7,675",50.9,1.2,1.2,1.2,1.3,58.7,1.2,1.2,1.2,1.3
366,2012,NEW YORK,White,"10,925","9,929","6,837",62.6,1.4,1.4,1.5,1.5,68.9,1.4,1.4,1.5,1.5,"5,781",52.9,1.4,1.4,1.5,1.5,58.2,1.4,1.4,1.5,1.5
368,2012,NEW YORK,Black,"2,482","2,103","1,542",62.1,3.6,3.6,3.6,3.7,73.3,3.6,3.6,3.6,3.7,"1,456",58.7,3.6,3.6,3.6,3.7,69.2,3.6,3.6,3.6,3.7
370,2012,NEW YORK,Hispanic,"2,363","1,548",983,41.6,4.9,5.9,4.7,6.1,63.5,4.9,5.9,4.7,6.1,835,35.3,4.9,5.9,4.7,6.1,53.9,4.9,5.9,4.7,6.1
374,2012,NORTH CAROLINA,Total,"7,265","6,712","5,295",72.9,1.6,1.5,1.7,1.7,78.9,1.6,1.5,1.7,1.7,"4,624",63.7,1.6,1.5,1.7,1.7,68.9,1.6,1.5,1.7,1.7
377,2012,NORTH CAROLINA,White,"5,453","4,966","3,848",70.6,1.9,1.8,2,2,77.5,1.9,1.8,2,2,"3,276",60.1,1.9,1.8,2,2,66,1.9,1.8,2,2
379,2012,NORTH CAROLINA,Black,"1,529","1,501","1,279",83.7,3.4,3.3,3.8,3.7,85.3,3.4,3.3,3.8,3.7,"1,203",78.7,3.4,3.3,3.8,3.7,80.2,3.4,3.3,3.8,3.7
381,2012,NORTH CAROLINA,Hispanic,603,169,115,19.1,7.5,16.9,7,18,68,7.5,16.9,7,18,95,15.7,7.5,16.9,7,18,56,7.5,16.9,7,18
385,2012,NORTH DAKOTA,Total,528,514,383,72.5,2.3,2.3,2.5,2.5,74.5,2.3,2.3,2.5,2.5,328,62.2,2.3,2.3,2.5,2.5,63.9,2.3,2.3,2.5,2.5
388,2012,NORTH DAKOTA,White,471,466,354,75.1,2.3,2.3,2.6,2.6,75.9,2.3,2.3,2.6,2.6,305,64.8,2.3,2.3,2.6,2.6,65.5,2.3,2.3,2.6,2.6
390,2012,NORTH DAKOTA,Black,6,4,2,(B),(B),(B),(B),(B),(B),(B),(B),(B),(B),2,(B),(B),(B),(B),(B),(B),(B),(B),(B),(B)
392,2012,NORTH DAKOTA,Hispanic,16,14,7,(B),(B),(B),(B),(B),(B),(B),(B),(B),(B),6,(B),(B),(B),(B),(B),(B),(B),(B),(B),(B)
396,2012,OHIO,Total,"8,750","8,550","6,076",69.4,1.5,1.5,1.6,1.6,71.1,1.5,1.5,1.6,1.6,"5,395",61.7,1.5,1.5,1.6,1.6,63.1,1.5,1.5,1.6,1.6
399,2012,OHIO,White,"7,473","7,373","5,201",69.6,1.6,1.6,1.7,1.7,70.5,1.6,1.6,1.7,1.7,"4,565",61.1,1.6,1.6,1.7,1.7,61.9,1.6,1.6,1.7,1.7
401,2012,OHIO,Black,"1,028",975,723,70.3,5.2,5.1,5.3,5.2,74.2,5.2,5.1,5.3,5.2,699,68,5.2,5.1,5.3,5.2,71.7,5.2,5.1,5.3,5.2
403,2012,OHIO,Hispanic,252,173,116,45.9,14.8,16.9,14.5,17.8,67,14.8,16.9,14.5,17.8,98,39,14.8,16.9,14.5,17.8,56.9,14.8,16.9,14.5,17.8
407,2012,OKLAHOMA,Total,"2,808","2,733","1,806",64.3,2.5,2.5,2.6,2.6,66.1,2.5,2.5,2.6,2.6,"1,431",51,2.5,2.5,2.6,2.6,52.4,2.5,2.5,2.6,2.6
410,2012,OKLAHOMA,White,"2,072","2,018","1,364",65.8,2.9,2.9,3,3,67.6,2.9,2.9,3,3,"1,101",53.1,2.9,2.9,3,3,54.6,2.9,2.9,3,3
412,2012,OKLAHOMA,Black,191,187,116,61.1,11.7,11.8,12,12.1,62.2,11.7,11.8,12,12.1,102,53.6,11.7,11.8,12,12.1,54.6,11.7,11.8,12,12.1
414,2012,OKLAHOMA,Hispanic,174,127,53,30.4,15,18.9,13.3,17.3,41.8,15,18.9,13.3,17.3,36,20.9,15,18.9,13.3,17.3,28.7,15,18.9,13.3,17.3
418,2012,OREGON,Total,"2,998","2,806","2,086",69.6,2.4,2.3,2.5,2.5,74.3,2.4,2.3,2.5,2.5,"1,897",63.3,2.4,2.3,2.5,2.5,67.6,2.4,2.3,2.5,2.5
421,2012,OREGON,White,"2,633","2,505","1,903",72.3,2.5,2.4,2.6,2.6,76,2.5,2.4,2.6,2.6,"1,733",65.8,2.5,2.4,2.6,2.6,69.2,2.5,2.4,2.6,2.6
423,2012,OREGON,Black,57,40,32,(B),(B),(B),(B),(B),(B),(B),(B),(B),(B),26,(B),(B),(B),(B),(B),(B),(B),(B),(B),(B)
425,2012,OREGON,Hispanic,226,121,69,30.6,13.6,20,13.1,20.2,57.2,13.6,20,13.1,20.2,60,26.7,13.6,20,13.1,20.2,50,13.6,20,13.1,20.2
429,2012,PENNSYLVANIA,Total,"9,847","9,452","6,795",69,1.4,1.4,1.5,1.5,71.9,1.4,1.4,1.5,1.5,"5,824",59.1,1.4,1.4,1.5,1.5,61.6,1.4,1.4,1.5,1.5
432,2012,PENNSYLVANIA,White,"8,382","8,228","5,951",71,1.5,1.5,1.6,1.6,72.3,1.5,1.5,1.6,1.6,"5,074",60.5,1.5,1.5,1.6,1.6,61.7,1.5,1.5,1.6,1.6
434,2012,PENNSYLVANIA,Black,"1,006",940,675,67,5.4,5.3,5.6,5.6,71.8,5.4,5.3,5.6,5.6,614,61,5.4,5.3,5.6,5.6,65.2,5.4,5.3,5.6,5.6
436,2012,PENNSYLVANIA,Hispanic,501,407,225,45,10.5,11.6,10.2,11.6,55.3,10.5,11.6,10.2,11.6,184,36.7,10.5,11.6,10.2,11.6,45.1,10.5,11.6,10.2,11.6
440,2012,RHODE ISLAND,Total,817,751,552,67.5,2.5,2.5,2.7,2.7,73.5,2.5,2.5,2.7,2.7,469,57.4,2.5,2.5,2.7,2.7,62.5,2.5,2.5,2.7,2.7
443,2012,RHODE ISLAND,White,713,673,497,69.7,2.6,2.6,2.8,2.9,74,2.6,2.6,2.8,2.9,420,58.9,2.6,2.6,2.8,2.9,62.5,2.6,2.6,2.8,2.9
445,2012,RHODE ISLAND,Black,50,43,33,(B),(B),(B),(B),(B),(B),(B),(B),(B),(B),30,(B),(B),(B),(B),(B),(B),(B),(B),(B),(B)
447,2012,RHODE ISLAND,Hispanic,95,57,37,39.1,12.1,(B),11.8,(B),(B),12.1,(B),11.8,(B),32,33.6,12.1,(B),11.8,(B),(B),12.1,(B),11.8,(B)
451,2012,SOUTH CAROLINA,Total,"3,516","3,380","2,479",70.5,2.3,2.3,2.4,2.4,73.3,2.3,2.3,2.4,2.4,"2,187",62.2,2.3,2.3,2.4,2.4,64.7,2.3,2.3,2.4,2.4
454,2012,SOUTH CAROLINA,White,"2,508","2,400","1,745",69.6,2.7,2.7,2.9,2.9,72.7,2.7,2.7,2.9,2.9,"1,515",60.4,2.7,2.7,2.9,2.9,63.1,2.7,2.7,2.9,2.9
456,2012,SOUTH CAROLINA,Black,919,911,691,75.1,5.1,5.1,5.5,5.5,75.8,5.1,5.1,5.5,5.5,631,68.7,5.1,5.1,5.5,5.5,69.3,5.1,5.1,5.5,5.5
458,2012,SOUTH CAROLINA,Hispanic,114,37,21,18.7,17.1,(B),15,(B),(B),17.1,(B),15,(B),16,13.6,17.1,(B),15,(B),(B),17.1,(B),15,(B)
462,2012,SOUTH DAKOTA,Total,616,607,454,73.7,2.1,2.1,2.4,2.4,74.8,2.1,2.1,2.4,2.4,370,60.1,2.1,2.1,2.4,2.4,61,2.1,2.1,2.4,2.4
465,2012,SOUTH DAKOTA,White,541,536,405,74.9,2.2,2.2,2.5,2.5,75.6,2.2,2.2,2.5,2.5,341,63,2.2,2.2,2.5,2.5,63.5,2.2,2.2,2.5,2.5
467,2012,SOUTH DAKOTA,Black,6,5,3,(B),(B),(B),(B),(B),(B),(B),(B),(B),(B),-,(B),(B),(B),(B),(B),(B),(B),(B),(B),(B)
469,2012,SOUTH DAKOTA,Hispanic,16,13,6,(B),(B),(B),(B),(B),(B),(B),(B),(B),(B),3,(B),(B),(B),(B),(B),(B),(B),(B),(B),(B)
473,2012,TENNESSEE,Total,"4,849","4,678","3,210",66.2,2,2,2.1,2.2,68.6,2,2,2.1,2.2,"2,606",53.7,2,2,2.1,2.2,55.7,2,2,2.1,2.2
476,2012,TENNESSEE,White,"3,925","3,836","2,621",66.8,2.2,2.2,2.4,2.4,68.3,2.2,2.2,2.4,2.4,"2,098",53.4,2.2,2.2,2.4,2.4,54.7,2.2,2.2,2.4,2.4
478,2012,TENNESSEE,Black,768,722,513,66.8,6.1,6.1,6.5,6.6,71.1,6.1,6.1,6.5,6.6,441,57.4,6.1,6.1,6.5,6.6,61.1,6.1,6.1,6.5,6.6
480,2012,TENNESSEE,Hispanic,241,134,107,44.4,15,16.3,14.4,19.6,79.7,15,16.3,14.4,19.6,84,34.7,15,16.3,14.4,19.6,62.3,15,16.3,14.4,19.6
484,2012,TEXAS,Total,"18,642","16,062","10,749",57.7,1.1,1.1,1.1,1.2,66.9,1.1,1.1,1.1,1.2,"8,643",46.4,1.1,1.1,1.1,1.2,53.8,1.1,1.1,1.1,1.2
487,2012,TEXAS,White,"15,029","12,989","8,643",57.5,1.2,1.2,1.2,1.3,66.5,1.2,1.2,1.2,1.3,"6,900",45.9,1.2,1.2,1.2,1.3,53.1,1.2,1.2,1.2,1.3
489,2012,TEXAS,Black,"2,213","2,144","1,569",70.9,3.5,3.5,3.8,3.8,73.2,3.5,3.5,3.8,3.8,"1,352",61.1,3.5,3.5,3.8,3.8,63.1,3.5,3.5,3.8,3.8
491,2012,TEXAS,Hispanic,"6,831","4,867","2,652",38.8,2.8,3.4,2.6,3.3,54.5,2.8,3.4,2.6,3.3,"1,890",27.7,2.8,3.4,2.6,3.3,38.8,2.8,3.4,2.6,3.3
495,2012,UTAH,Total,"1,917","1,793","1,138",59.4,2.3,2.4,2.4,2.4,63.5,2.3,2.4,2.4,2.4,"1,022",53.3,2.3,2.4,2.4,2.4,57,2.3,2.4,2.4,2.4
498,2012,UTAH,White,"1,780","1,683","1,089",61.2,2.4,2.4,2.4,2.5,64.7,2.4,2.4,2.4,2.5,989,55.6,2.4,2.4,2.4,2.5,58.8,2.4,2.4,2.4,2.5
500,2012,UTAH,Black,23,18,9,(B),(B),(B),(B),(B),(B),(B),(B),(B),(B),9,(B),(B),(B),(B),(B),(B),(B),(B),(B),(B)
502,2012,UTAH,Hispanic,233,151,61,26.1,9.4,13,8.7,12.4,40.1,9.4,13,8.7,12.4,49,20.9,9.4,13,8.7,12.4,32.1,9.4,13,8.7,12.4
506,2012,VERMONT,Total,496,487,357,72,2.5,2.5,2.7,2.7,73.4,2.5,2.5,2.7,2.7,308,62.1,2.5,2.5,2.7,2.7,63.3,2.5,2.5,2.7,2.7
509,2012,VERMONT,White,470,464,341,72.6,2.5,2.5,2.7,2.7,73.5,2.5,2.5,2.7,2.7,293,62.4,2.5,2.5,2.7,2.7,63.2,2.5,2.5,2.7,2.7
511,2012,VERMONT,Black,5,5,3,(B),(B),(B),(B),(B),(B),(B),(B),(B),(B),3,(B),(B),(B),(B),(B),(B),(B),(B),(B),(B)
513,2012,VERMONT,Hispanic,6,5,3,(B),(B),(B),(B),(B),(B),(B),(B),(B),(B),3,(B),(B),(B),(B),(B),(B),(B),(B),(B),(B)
