,Year,State,Race,Education,Income
364,2016,North Carolina,White,0.5763070692194403,30000.0
365,2016,North Carolina,Black,0.4592530994859389,19210.0
366,2016,South Carolina,White,0.5546963410033949,29500.0
367,2016,South Carolina,Black,0.3984971981660723,18500.0
368,2016,Texas,White,0.5347980650722748,30000.0
369,2016,Texas,Black,0.5001992825827023,23000.0
370,2016,Kentucky,White,0.47040466741291,25900.0
371,2016,Kentucky,Black,0.4254795868175111,19000.0
372,2016,Maryland,White,0.6206570798782408,41000.0
373,2016,Maryland,Black,0.5222645719066654,32500.0
374,2016,Oklahoma,White,0.4752170116595614,26000.0
375,2016,Oklahoma,Black,0.44150110375275936,19000.0
376,2016,Tennessee,White,0.4789771880125242,26000.0
377,2016,Tennessee,Black,0.43508655126498,20250.0
378,2016,West Virginia,White,0.42066479775730875,24000.0
379,2016,West Virginia,Black,0.4198473282442748,16900.0
380,2016,Arizona,White,0.5869192412210116,30000.0
381,2016,Arizona,Black,0.578789694427801,23000.0
382,2016,Colorado,White,0.6515074382035183,34300.0
383,2016,Colorado,Black,0.5750421585160203,26000.0
384,2016,Idaho,White,0.521098459477562,25000.0
385,2016,Idaho,Black,0.4528301886792453,17700.0
386,2016,Montana,White,0.552608695652174,27360.0
387,2016,Montana,Black,0.8095238095238095,22000.0
388,2016,Nevada,White,0.5274951981219321,30200.0
389,2016,Nevada,Black,0.5283812193412754,25000.0
390,2016,New Mexico,White,0.5717284080176304,27300.0
391,2016,New Mexico,Black,0.5307017543859649,20000.0
392,2016,Utah,White,0.6017624131503135,29000.0
393,2016,Utah,Black,0.5338345864661654,20000.0
394,2016,Wyoming,White,0.5430530861061722,29800.0
395,2016,Wyoming,Black,0.5666666666666667,26500.0
396,2016,California,White,0.6023165792523387,32400.0
397,2016,California,Black,0.564523415148321,24000.0
398,2016,Oregon,White,0.5926204536051454,29320.0
399,2016,Oregon,Black,0.4846335697399527,16000.0
400,2016,Washington,White,0.6114466893471268,34500.0
401,2016,Washington,Black,0.5379701916252662,25000.0
402,2016,Alaska,White,0.5959780621572212,38100.0
403,2016,Alaska,Black,0.4794520547945205,25000.0
404,2016,Hawaii,White,0.6812150837988827,36250.0
405,2016,Hawaii,Black,0.5032258064516129,28300.0
406,2016,District of Columbia,White,0.9114804793196754,70000.0
407,2016,District of Columbia,Black,0.4857278782112274,25000.0
408,2018,Connecticut,White,0.6183639103075423,41600.0
409,2018,Connecticut,Black,0.44169443122322705,25000.0
410,2018,Maine,White,0.5146637701194826,27400.0
411,2018,Maine,Black,0.5393258426966292,13500.0
412,2018,Massachusetts,White,0.6422852580451995,40000.0
413,2018,Massachusetts,Black,0.5206382240721471,26000.0
414,2018,New Hampshire,White,0.5820187747991871,35000.0
415,2018,New Hampshire,Black,0.5377358490566038,16300.0
416,2018,Rhode Island,White,0.5762284754304914,35000.0
417,2018,Rhode Island,Black,0.4530386740331492,27000.0
418,2018,Vermont,White,0.5737966846415019,30200.0
419,2018,Vermont,Black,0.5161290322580645,18000.0
420,2018,Delaware,White,0.541719228689854,35000.0
421,2018,Delaware,Black,0.4611059044048735,27000.0
422,2018,New Jersey,White,0.6014445173998687,42000.0
423,2018,New Jersey,Black,0.46512695013765676,27000.0
424,2018,New York,White,0.5929412208556554,35900.0
425,2018,New York,Black,0.49458893871449927,27000.0
426,2018,Pennsylvania,White,0.47951508816578803,30000.0
427,2018,Pennsylvania,Black,0.41794609348345274,20000.0
428,2018,Illinois,White,0.5618743710608548,35000.0
429,2018,Illinois,Black,0.48618207152810033,22000.0
430,2018,Indiana,White,0.4701372348871498,30000.0
431,2018,Indiana,Black,0.43037564766839376,21000.0
432,2018,Michigan,White,0.521442283874164,30000.0
433,2018,Michigan,Black,0.45568575672553224,20100.0
434,2018,Ohio,White,0.49239790092251634,30000.0
435,2018,Ohio,Black,0.426673479816045,20000.0
436,2018,Wisconsin,White,0.509029662206419,32000.0
437,2018,Wisconsin,Black,0.42722265932336745,18000.0
438,2018,Iowa,White,0.5038040690716362,30500.0
439,2018,Iowa,Black,0.432,18300.0
440,2018,Kansas,White,0.5375255623721882,30000.0
441,2018,Kansas,Black,0.44799054373522457,20000.0
442,2018,Minnesota,White,0.5744224085054181,35000.0
443,2018,Minnesota,Black,0.45,20000.0
444,2018,Missouri,White,0.492141884001557,28835.0
445,2018,Missouri,Black,0.45069152134696333,21350.0
446,2018,Nebraska,White,0.551350947902672,30300.0
447,2018,Nebraska,Black,0.4772727272727273,24000.0
448,2018,North Dakota,White,0.5628315346625206,35600.0
449,2018,North Dakota,Black,0.48484848484848486,25000.0
450,2018,South Dakota,White,0.5333333333333333,31000.0
451,2018,South Dakota,Black,0.3333333333333333,16000.0
452,2018,Virginia,White,0.6228954081632653,40000.0
453,2018,Virginia,Black,0.47318069439965604,25600.0
454,2018,Alabama,White,0.5104836878358944,28800.0
455,2018,Alabama,Black,0.42733127975357044,18200.0
456,2018,Arkansas,White,0.4540261452268483,25100.0
457,2018,Arkansas,Black,0.4129416773094934,18500.0
458,2018,Florida,White,0.5684999758916087,30000.0
459,2018,Florida,Black,0.4535349854227405,22400.0
460,2018,Georgia,White,0.5574274771838331,32200.0
461,2018,Georgia,Black,0.4800963634277848,23300.0
462,2018,Louisiana,White,0.5064624442297962,30200.0
463,2018,Louisiana,Black,0.381268342477989,17900.0
464,2018,Mississippi,White,0.532758493625175,28800.0
465,2018,Mississippi,Black,0.4237947122861586,17900.0
466,2018,North Carolina,White,0.5894922598455463,31300.0
467,2018,North Carolina,Black,0.46553874941525025,21000.0
468,2018,South Carolina,White,0.5703551912568307,30000.0
469,2018,South Carolina,Black,0.39844155844155843,19500.0
470,2018,Texas,White,0.5440731152966704,31600.0
471,2018,Texas,Black,0.5134665508253693,25000.0
472,2018,Kentucky,White,0.48060137400019914,27100.0
473,2018,Kentucky,Black,0.4433709071390231,20400.0
474,2018,Maryland,White,0.6316045606229144,45000.0
475,2018,Maryland,Black,0.5222630142144403,34000.0
476,2018,Oklahoma,White,0.4745872936468234,27000.0
477,2018,Oklahoma,Black,0.4327938071780436,19900.0
478,2018,Tennessee,White,0.4965405353819726,28800.0
479,2018,Tennessee,Black,0.4514854885797699,22000.0
480,2018,West Virginia,White,0.42120500782472614,25000.0
481,2018,West Virginia,Black,0.39709443099273606,16800.0
482,2018,Arizona,White,0.5867485827027297,31000.0
483,2018,Arizona,Black,0.5382483370288248,26000.0
