Year,State,Race,Total population,Total voted,Education,Income,Political Power
2010,MONTANA,Black,5,2,0.3333333333333333,14400.0,-1.3912005697225351
2010,NEBRASKA,White,1216,493,0.509311355891909,25000.0,0.004403287319427954
2010,NEBRASKA,Black,45,5,0.4556962025316456,15500.0,-1.2307510709003904
2010,NEVADA,White,1534,608,0.4961186096929856,28100.0,0.4027266166397083
2010,NEVADA,Black,148,48,0.4681778552746295,23800.0,-0.15778489087675063
2010,NEW HAMPSHIRE,White,976,456,0.5507186433667666,30000.0,0.6556475783670438
2010,NEW HAMPSHIRE,Black,12,4,0.5789473684210527,21802.0,-0.398983782536752
2010,NEW JERSEY,White,5115,1890,0.5478764721936472,35000.0,1.3044089812221753
2010,NEW JERSEY,Black,889,390,0.4542961608775137,25070.0,0.004817849466503984
2010,NEW MEXICO,White,1215,499,0.5515489103879605,24000.0,-0.1182404218084278
2010,NEW MEXICO,Black,44,0,0.5488372093023256,24000.0,-0.11990747081949822
2010,NEW YORK,White,11336,4721,0.5502414570651596,30000.0,0.6665101393466039
2010,NEW YORK,Black,2478,892,0.458070392297183,23000.0,-0.2602244242175433
2010,NORTH CAROLINA,White,5164,2279,0.5347707434145587,26000.0,0.1416526047409685
2010,NORTH CAROLINA,Black,1438,582,0.411070346147711,18000.0,-0.9134375142221025
2010,NORTH DAKOTA,White,433,240,0.5176091768967599,25000.0,0.004918180961219261
2010,NORTH DAKOTA,Black,4,0,0.5172413793103449,16600.0,-1.0795442974034228
2010,OHIO,White,7474,3382,0.4527583257604105,25000.0,0.0028584292754857987
2010,OHIO,Black,930,389,0.4024373730534868,17000.0,-1.0442903438406959
2010,OKLAHOMA,White,2015,833,0.4538402235713597,23800.0,-0.1579599693064411
2010,OKLAHOMA,Black,195,71,0.4344200151630023,17000.0,-1.040253168372275
2010,OREGON,White,2725,1493,0.552182919056724,25000.0,0.012951975611975693
2010,OREGON,Black,63,25,0.5706051873198847,20000.0,-0.6327072014430275
2010,PENNSYLVANIA,White,8435,3674,0.43343018084790985,25100.0,0.013724759782489425
2010,PENNSYLVANIA,Black,907,368,0.3754223723990752,18100.0,-0.906475119203419
2010,RHODE ISLAND,White,720,329,0.5391804457225018,29000.0,0.5245741008365267
2010,RHODE ISLAND,Black,45,12,0.43225806451612897,15950.0,-1.1762189309987114
2010,SOUTH CAROLINA,White,2455,1190,0.5195605464791017,25000.0,0.007495665363917673
2010,SOUTH CAROLINA,Black,898,482,0.3605512937199324,16000.0,-1.179551440409239
2010,SOUTH DAKOTA,White,554,304,0.4932821497120921,25000.0,0.001388119557731113
2010,SOUTH DAKOTA,Black,7,1,0.6551724137931034,13000.0,-1.5232182165601953
2010,TENNESSEE,White,3869,1433,0.4403183023872679,23000.0,-0.26147847805431174
2010,TENNESSEE,Black,716,242,0.4131341209173037,18000.0,-0.9139417434769884
2010,TEXAS,White,14741,4631,0.5082717298264726,26000.0,0.14574830840619132
2010,TEXAS,Black,2060,770,0.4692985195827347,20000.0,-0.6460037346709077
2010,UTAH,White,1811,676,0.5672693840024517,25000.0,0.013710221121970383
2010,UTAH,Black,19,2,0.5338983050847458,15600.0,-1.2060495888058074
2010,VERMONT,White,473,259,0.5181612969423354,25000.0,0.005047020631429161
2010,VERMONT,Black,4,1,0.6153846153846154,10000.0,-1.9163294334530427
2010,VIRGINIA,White,4266,1780,0.569957279759843,32000.0,0.9200537624169458
2010,VIRGINIA,Black,1104,370,0.4432455761760898,22200.0,-0.367085575415223
2010,WASHINGTON,White,4366,2479,0.5783484885721307,30000.0,0.6641926276804082
2010,WASHINGTON,Black,157,47,0.5106557377049179,24000.0,-0.12555661942287616
2010,WEST VIRGINIA,White,1360,561,0.3696338383838384,21000.0,-0.532668772784966
2010,WEST VIRGINIA,Black,48,18,0.4166666666666667,15300.0,-1.2624367342843983
2010,WISCONSIN,White,3956,2113,0.4618244069454634,26300.0,0.1684839445354994
2010,WISCONSIN,Black,204,89,0.3942054433713784,16000.0,-1.175334458150457
2010,WYOMING,White,389,182,0.513008335438242,27300.0,0.3009012500708557
2010,WYOMING,Black,6,2,0.36,18000.0,-0.9226533833623262
2012,ALABAMA,White,2580,1530,0.4697705643091261,24100.0,-0.11566040861528187
2012,ALABAMA,Black,891,560,0.3907260069617106,14700.0,-1.342639863279118
2012,ALASKA,White,373,232,0.5814280689412592,33900.0,1.1629090225700474
2012,ALASKA,Black,21,6,0.5769230769230769,27200.0,0.29723582110342767
